trace,thickness,thickness_user_lower,thickness_user_upper,thickness_user_std,thickness_user_nmad,thickness_user_count,temperate,temperate_user_lower,temperate_user_upper,temperate_user_std,temperate_user_nmad,temperate_user_count
2757,128.443497,127.420052,129.466949,1.907284,1.896708,10,125.11727,126.396588,118.720682,4.832706,6.82818,9.0
2765,128.187637,127.420052,129.21109,1.884261,1.517371,10,124.861411,126.140729,118.464823,4.832706,6.82818,9.0
2772,128.187637,127.164185,128.699371,1.859978,1.707045,10,124.861411,126.140729,118.464823,4.832706,6.82818,9.0
2778,127.931786,127.164185,128.699371,1.857042,1.707057,10,124.605559,125.884877,118.208971,4.802319,6.82818,9.0
2786,127.420052,126.908318,128.443497,1.956789,1.707057,10,124.093825,125.373143,117.697237,4.771358,6.82818,9.0
2793,127.420052,126.652451,128.187637,1.967913,1.707051,10,124.093825,125.373143,117.697237,4.742304,6.82818,9.0
2800,127.164185,126.652451,128.187637,2.000358,1.896708,10,123.837958,125.117276,117.44137,4.742304,6.82818,9.0
2803,127.164185,126.652451,128.187637,2.103688,1.896708,10,123.837958,125.117276,117.44137,4.742304,6.82818,9.0
2823,126.396599,125.884865,127.675903,2.49531,1.896719,10,123.070373,124.861418,116.673784,5.005363,5.690149,8.0
2834,125.884865,125.373138,127.420052,2.81695,2.276057,10,122.558639,124.349684,116.16205,5.005363,5.690149,8.0
2842,125.629013,124.861412,127.164185,3.093491,2.276057,10,122.302787,124.093832,116.162062,5.010966,5.879821,8.0
2848,125.373138,124.349686,126.908318,3.366547,2.276062,10,122.046912,123.837957,115.906187,5.010966,5.879821,8.0
2856,125.117279,123.837952,126.908318,3.653367,2.655394,10,121.791053,123.582098,115.650328,4.98723,5.879821,8.0
2863,124.861412,123.326241,126.652451,3.880737,2.655394,10,121.535186,123.326231,115.394461,5.010966,5.879821,8.0
2870,124.349686,123.070366,126.396599,4.060365,2.845074,10,121.023459,122.558641,114.626871,5.003495,5.879821,8.0
2877,124.093826,122.814507,126.140732,4.16568,2.845074,10,120.7676,122.302781,114.371012,5.030176,6.069493,8.0
